trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.73159530257975,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,0,-50.47130372388074,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-89.58328516682644,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.25}",25,0,-98.46536868592787,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.2}",20,0,-55.88586872045724,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-6.78798963719591,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,0,-67.1062540818353,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.125}",30,0,-91.42890412452726,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-58.398742098437225,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.1}",25,0,-40.69983424224002,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",35,0,-45.33651019975807,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",20,0,-117.93268497598373,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",20,15,9.716763209482409,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
