trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.4290698277206,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-98.44028547864842,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,10,-111.72509790107038,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-103.26407982501432,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",35,13,-122.5412883377263,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",30,0,-133.37042034375747,"{0: 15, 1: 3, 2: 11, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",35,0,-257.8281011204976,"{0: 16, 1: 5, 2: 9, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,17,5.887646045198036,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-226.68572723716886,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.01}",30,0,-112.19450627258144,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-106.82483390293613,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,0,-165.1652037269246,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",30,0,-186.12332776324897,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",35,0,-191.36296678636938,"{0: 21, 1: 2, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-134.4716949746504,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-71.44087697625797,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,4,-49.72162371360018,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,-54.50461342315042,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-124.7741121781074,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,-74.40110435754758,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-128.79667280933256,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-137.8879972336231,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-36.68420854004514,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,20,-69.1635949875726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,0,-83.56614072304599,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-151.45465078788519,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-79.5217897598797,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-114.76138272578004,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-168.03482259383333,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-142.7297248932265,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
